,tokenSymbol,startTime,ethLiquidity,tokenLiquidity,ethBalance,tokenBalance,combinedBalanceInEth,combinedBalanceInUSD,totalUniToken,tradeVolumeToken,tradeVolumeEth,totalValue
0,TKN,1544293714,1089.161911721518944613,519135.98221262,626.647413530429275089,994372.58572839,1253.294827060858550178,605405.444589713914597605,1265.806109239869800515,24210381.61553365,36915.948145290494127076,19475539380.426559871567777081
1,USDC,1543336959,3351.38961791359955845,-1037243.779243,476.668533652837816975,234444.098971,953.33706730567563395,460921.325670533819234604,723.89785346794349008,217075532.8287,1092890.463741392268873111,50542730102.750739547669479097
2,DAI,1573833929,967.2751123292912018,-713381.07374075770862254,461.554752656868482103,226658.933608260082095891,923.109505313736964206,446117.201819905020134426,568.025451487697628528,244113053.826993469786733127,1399804.908900978695743271,49075827295.795936353468173683
3,WBTC,1546536932,294.774448753687487225,4.82944021,418.25981649619308341,11.39474449,836.519632992386168255,404270.344731357378396804,349.754822756179998173,3235.25566958,145165.533263300920919597,86.860794224889299927
4,NMR,1541822120,259.161472853876614359,5317.697664922936558414,314.734685661658578588,6073.544845400178394021,629.469371323317157187,303337.6443915830406254624574201687,258.095467492303319873,699537.174500931148689651,56013.434831160009418381,12676918.000084795484381064
5,sETH,1568344780,518.751445455091917099,-589.603325740212233975,344.433587003232675666,343.466369882549538421,688.867174006465351651,291059.0147086261050627242489499775,334.92609095834365892,244676.95560415894051197,239319.089023723532565333,251115.970647562411755638
6,SOCKS,1557354930,-7.805221456125053576,445.402743043090701903,243.040105101035156386,35.031498577654004512,486.080210202070313153,229051.21682072108754974,22.453108250812514791,3702.505224655697875151,14005.92154034643875074,8782.250109864972653975
7,ANJ,1578421176,110.455952427212528654,2938159.937774680238420586,235.65069968640360082,2509871.049914152399570797,471.30139937280720164,226956.288885657283730015,108.726156522948827672,406880567.489159134744676257,49849.590731814512420304,4015386088600.405684127974403647
8,MKR,1541137662,5344.626339647939979552,-3003.588147619454680567,197.166078172871704097,180.609787642615217015,394.332156345743408264,190360.957742979730199009,268.28318436064859978,428702.112566803573174492,1135246.380099438096796691,177297.479251873728839555
9,WETH,1542220505,114.866705194220199429,112.85481314899877786,190.190328013058900613,189.120039194026120937,380.380656026117801384,183396.396317188929819828,183.704193480986753564,50655.567238027683607971,50537.03186455579778566,50789.394364987231269726
10,JRT,1577740763,-277.542125854389693316,3206508.644140647559063346,143.438957263347503139,1043721.117246277194821707,286.877914526695006278,138440.7043707040501857721306695097,298.451744283900118892,135011761.945827060498946389,30949.872452248150194467,1303055948895.747989659991967869
11,ZUC,1567169348,0,0,0,0,0,103416.9316576066272702,0,0,0,0
12,REALTOKEN-16200-FULLERTON-AVE-DETROIT-MI,1568754788,128.62829291689040287,149.498216742186474589,80.327163157675737122,243.176091470488660582,160.654326315351474244,77536.091238100261138234,143.096506097694445118,1322.187989287608237615,899.793106889399976566,2315.533640616689643876
13,TheDAO,1544995896,99.966094786790080874,9993.7499686397183452,98.859976618875076483,10143.1418302329769357,197.719953237750152966,76485.795341054384664439,99.94166980894177139,19492.6321849833749629,114.332761413113108727,4564112.435995886926176417
14,BAND,1570354603,14.568019948047213153,7756.020312895408127566,73.821442077734687631,5972.112117230517382823,147.642884155469375262,71322.651655292846624765,17.489707333048942798,1778057.202128102749517313,28239.93523851713250924,181017426.400428655697453015
