,id,date,token0,token1,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,reserve0,reserve1,reserveUSD
0,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18579,2020-11-13 01:00:00,WETH,USDT,53445.216867996372640375,24927112.252901,24888768.51646627225065089750537811,566123.300103488144930439,266752842.326093,533245219.7995688275264326017352029
1,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18578,2020-11-12 01:00:00,WETH,USDT,107744.673873166972984452,49606511.793806,49506669.98840420254508209434415221,534812.54697530241503347,247443375.361191,494254792.3249833725565239347264594
2,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18577,2020-11-11 01:00:00,WETH,USDT,109210.781075392286056386,50556735.828866,50476998.37806366281293665036586362,566910.254195756990818873,263317165.174213,525839098.7480788117153156745196552
3,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18576,2020-11-10 01:00:00,WETH,USDT,63613.361979217649003856,28483377.575422,28445570.12093484599951299496936565,574431.203277613558167287,258940279.688217,517311029.0275947852953468351436816
4,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18575,2020-11-09 01:00:00,WETH,USDT,102448.890969903977793065,45906278.365973,45816903.30407207848282649423227852,573896.819417722757379627,254831490.845891,508877842.7592487618869369229449992
5,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18574,2020-11-08 01:00:00,WETH,USDT,68965.247814915746648041,30776229.95189,30717814.7771543184211682407106107,556119.774823562135081571,253131152.634234,505718853.5447803076349491068989391
6,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18573,2020-11-07 01:00:00,WETH,USDT,217896.408359252982445268,97375386.893575,97196728.39383117694557231863701612,566456.724223468196479694,247202897.111267,493599462.6301819997513023932553298
7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18572,2020-11-06 01:00:00,WETH,USDT,163773.695066909972471899,71371329.30906,71210744.96887214013831382637746377,584867.149887745163532928,266216055.999116,532265495.3606372515799235104360095
8,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18571,2020-11-05 01:00:00,WETH,USDT,125656.781714588011046529,51242447.902659,51135718.96058653876139755094058816,627604.152504277104372384,260552892.976303,520552696.214767138006811118616794
9,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18570,2020-11-04 01:00:00,WETH,USDT,128799.863372789032888445,50435914.729321,50346662.99850444155738366435383608,655311.117912410305161715,263077540.992864,525340783.4088415486935035512790152
10,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18569,2020-11-03 01:00:00,WETH,USDT,79466.962725143460547043,30173016.247155,30107264.8857049160451433609711946,631537.09336541574695293,245177334.656926,489059477.184530528145429049710336
11,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18568,2020-11-02 01:00:00,WETH,USDT,88261.15271351516040234,34491747.702112,34427950.25746693456525385278316929,653355.36200186431237346,250626545.100768,499855945.1445243082717679502081264
12,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18567,2020-11-01 01:00:00,WETH,USDT,47453.91107135439299518,18503724.425335,18451086.97662414842599934933958381,677673.408456945450943534,268067817.457175,534571223.1503264532816589589974276
13,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18566,2020-10-31 01:00:00,WETH,USDT,65383.993378304855406722,25310033.93702,25255947.78150571184643388061271655,672548.05956839479705071,259955802.35838,519063895.896113759306242817109698
14,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18565,2020-10-30 01:00:00,WETH,USDT,100180.55859480507086363,38197971.329124,38134970.34595616677426582798406189,675999.318652344866867732,259495284.67703,517932987.461792090606882848839411
15,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852-18564,2020-10-29 01:00:00,WETH,USDT,88199.977659187209049063,40868756.875028,37498389.91343888668852251197403998,673417.439415604662910736,259726462.616891,518734406.6345466996811411110293279
